jahr;nameeg;anzfz_total;leergewicht;co2;co2_massgebend;ziel;ziel_abw;sanktion_final;gsc_beansprucht;gsc_reserve;anteil_lev
2021;Alcomotive Schweiz;9;2297;257.6;256.8;265.4;-8.6;0;0;9.3;0
2021;AMAG Import AG;4965;2343;228.8;214.9;212.5;2.4;1181918.25;3.2;6.1;0.015
2021;Auto Import Uster AG;0;;;;;;0;0;9.3;0
2021;Autociel SA;166;2328;228.6;211.2;211;0.2;1718.1;9.3;0;0.072
2021;Cadei SA;5;1703;170.6;152.8;151.1;1.7;9082.1;0;9.3;0
2021;Chalut Green Service SA;58;2064;189.5;178.4;185.7;-7.3;0;0;9.3;0.207
2021;CO2-Börse AG;151;2188;183;160.7;197.6;-36.9;0;0;9.3;0.298
2021;CT Automobile AG;7;2363;242.4;225;214.4;10.6;7679.7;9.3;0;0.143
2021;Emil Frey AG;5799;1956;194;175.4;175.4;0;0;5.9;3.4;0.077
2021;FCA Switzerland SA;1491;2182;211.5;194.9;197;-2.1;0;4.7;4.6;0.072
2021;Ford Motor Company Switzerland SA;4904;2270;211.7;203.8;205.5;-1.7;0;0;9.3;0
2021;Garage Auto Kunz AG;81;2574;254.1;234.7;234.7;0;0;6.4;2.9;0.148
2021;Garage Breitschmid AG;27;2480;246.5;227.2;225.6;1.6;4471.2;9.3;0;0.111
2021;Global Car Trading AG;9;2029;203;183.9;182.3;1.6;1490.4;9.3;0;0.111
2021;Interhorse (Schweiz) AG;11;2472;265.5;242.2;224.9;17.3;19696.05;9.3;0;0.091
2021;Iveco (Schweiz) AG;925;2445;318.3;303.1;222.3;80.8;7735590;2.9;6.4;0.013
2021;KG Trading Sàrl;13;2205;208.5;187.1;199.2;-12.1;0;0;9.3;0.231
2021;Leasinvest AG;6;2587;240.8;231.2;235.9;-4.7;0;0;9.3;0.167
2021;Lindengarage Gunzwil AG;32;2310;216.1;209.3;209.3;0;0;2.5;6.8;0.094
2021;Mercedes-Benz Schweiz AG;2434;2660;252.3;240.3;242.9;-2.6;0;0;9.3;0.034
2021;Mercedes-Benz Trucks Schweiz AG;7;2439;333.3;317;221.7;95.3;68972.4;0;9.3;0
